Direction,Protocol,Configuration,Activity,Precision,Recall,F1,Support
PAMAP2-6g -> MHEALTH,Magnitude - CORAL,Chest and ankle acceleration,cycling,0.9450800915331807,0.8787234042553191,0.9106945975744211,470
PAMAP2-6g -> MHEALTH,Magnitude - CORAL,Chest and ankle acceleration,lying,0.3458856345885635,0.5276595744680851,0.417860151642797,470
PAMAP2-6g -> MHEALTH,Magnitude - CORAL,Chest and ankle acceleration,running,1.0,0.8414893617021276,0.9139225880993646,940
PAMAP2-6g -> MHEALTH,Magnitude - CORAL,Chest and ankle acceleration,sitting,0.3641732283464567,0.39361702127659576,0.3783231083844581,470
PAMAP2-6g -> MHEALTH,Magnitude - CORAL,Chest and ankle acceleration,standing,0.2827868852459016,0.14680851063829786,0.19327731092436976,470
PAMAP2-6g -> MHEALTH,Magnitude - CORAL,Chest and ankle acceleration,walking,0.7622259696458684,0.9617021276595744,0.8504233301975541,470
MHEALTH -> PAMAP2-6g,Magnitude - CORAL,Full common configuration,cycling,0.8651877133105802,0.9201451905626135,0.8918205804749342,1102
MHEALTH -> PAMAP2-6g,Magnitude - CORAL,Full common configuration,lying,0.1320754716981132,0.006118881118881119,0.011695906432748537,1144
MHEALTH -> PAMAP2-6g,Magnitude - CORAL,Full common configuration,running,0.9017857142857143,0.9314888010540184,0.916396629941672,759
MHEALTH -> PAMAP2-6g,Magnitude - CORAL,Full common configuration,sitting,0.3761261261261261,0.6587771203155819,0.47885304659498207,1014
MHEALTH -> PAMAP2-6g,Magnitude - CORAL,Full common configuration,standing,0.41924398625429554,0.544157002676182,0.47360248447204967,1121
MHEALTH -> PAMAP2-6g,Magnitude - CORAL,Full common configuration,walking,0.96953125,0.8992753623188405,0.9330827067669172,1380
