Direction,Protocol,Entity,Configuration,Model,Target subject,Accuracy,Balanced accuracy,Macro precision,Macro recall,Macro F1,Log loss
PAMAP2-6g -> MHEALTH,All features - raw,Chest acceleration,Chest acceleration,Logistic regression,M01,0.14285714285714285,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.05555555555555556,19.90977581728909
PAMAP2-6g -> MHEALTH,All features - raw,Chest acceleration,Chest acceleration,Logistic regression,M02,0.14285714285714285,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.05555555555555556,20.764724049350917
PAMAP2-6g -> MHEALTH,All features - raw,Chest acceleration,Chest acceleration,Logistic regression,M03,0.14285714285714285,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.05555555555555556,20.270868112787788
PAMAP2-6g -> MHEALTH,All features - raw,Chest acceleration,Chest acceleration,Logistic regression,M04,0.14285714285714285,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.05555555555555556,19.81418909047623
PAMAP2-6g -> MHEALTH,All features - raw,Chest acceleration,Chest acceleration,Logistic regression,M05,0.14285714285714285,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.05555555555555556,18.656719195904905
PAMAP2-6g -> MHEALTH,All features - raw,Chest acceleration,Chest acceleration,Logistic regression,M06,0.14285714285714285,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.05555555555555556,18.50729051812018
PAMAP2-6g -> MHEALTH,All features - raw,Chest acceleration,Chest acceleration,Logistic regression,M07,0.14285714285714285,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.05555555555555556,19.817216354718386
PAMAP2-6g -> MHEALTH,All features - raw,Chest acceleration,Chest acceleration,Logistic regression,M08,0.14285714285714285,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.05555555555555556,20.55385378334609
PAMAP2-6g -> MHEALTH,All features - raw,Chest acceleration,Chest acceleration,Logistic regression,M09,0.19148936170212766,0.1950354609929078,0.19999999999999998,0.1950354609929078,0.10404040404040404,17.321676538550008
PAMAP2-6g -> MHEALTH,All features - raw,Chest acceleration,Chest acceleration,Logistic regression,M10,0.14285714285714285,0.16666666666666666,0.033192090395480225,0.16666666666666666,0.055359246171967025,16.93420097718843
PAMAP2-6g -> MHEALTH,All features - raw,Ankle acceleration,Ankle acceleration,Logistic regression,M01,0.11246200607902736,0.0673758865248227,0.167420814479638,0.0673758865248227,0.09355147340221968,9.050709446941108
PAMAP2-6g -> MHEALTH,All features - raw,Ankle acceleration,Ankle acceleration,Logistic regression,M02,0.0121580547112462,0.014184397163120567,0.16666666666666666,0.014184397163120567,0.026143790849673203,11.377564290314249
PAMAP2-6g -> MHEALTH,All features - raw,Ankle acceleration,Ankle acceleration,Logistic regression,M03,0.0,0.0,0.0,0.0,0.0,11.979138788495291
PAMAP2-6g -> MHEALTH,All features - raw,Ankle acceleration,Ankle acceleration,Logistic regression,M04,0.0,0.0,0.0,0.0,0.0,11.49317368506543
PAMAP2-6g -> MHEALTH,All features - raw,Ankle acceleration,Ankle acceleration,Logistic regression,M05,0.00911854103343465,0.010638297872340425,0.0022935779816513763,0.010638297872340425,0.003773584905660378,11.562334718431664
PAMAP2-6g -> MHEALTH,All features - raw,Ankle acceleration,Ankle acceleration,Logistic regression,M06,0.0,0.0,0.0,0.0,0.0,11.346884285096637
PAMAP2-6g -> MHEALTH,All features - raw,Ankle acceleration,Ankle acceleration,Logistic regression,M07,0.14285714285714285,0.16666666666666666,0.027582159624413145,0.16666666666666666,0.04733131923464249,11.144078836329061
PAMAP2-6g -> MHEALTH,All features - raw,Ankle acceleration,Ankle acceleration,Logistic regression,M08,0.0,0.0,0.0,0.0,0.0,10.643641191960052
PAMAP2-6g -> MHEALTH,All features - raw,Ankle acceleration,Ankle acceleration,Logistic regression,M09,0.0,0.0,0.0,0.0,0.0,12.93683843553455
PAMAP2-6g -> MHEALTH,All features - raw,Ankle acceleration,Ankle acceleration,Logistic regression,M10,0.00303951367781155,0.0035460992907801418,0.0007215007215007215,0.0035460992907801418,0.0011990407673860913,11.903691580735911
PAMAP2-6g -> MHEALTH,All features - raw,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M01,0.0,0.0,0.0,0.0,0.0,19.131828107640114
PAMAP2-6g -> MHEALTH,All features - raw,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M02,0.0,0.0,0.0,0.0,0.0,17.434602749004238
PAMAP2-6g -> MHEALTH,All features - raw,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M03,0.0,0.0,0.0,0.0,0.0,21.099195411639908
PAMAP2-6g -> MHEALTH,All features - raw,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M04,0.0,0.0,0.0,0.0,0.0,20.192272113238094
PAMAP2-6g -> MHEALTH,All features - raw,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M05,0.0,0.0,0.0,0.0,0.0,19.211655603272416
PAMAP2-6g -> MHEALTH,All features - raw,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M06,0.0,0.0,0.0,0.0,0.0,21.576171448002107
PAMAP2-6g -> MHEALTH,All features - raw,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M07,0.14285714285714285,0.16666666666666666,0.03544494720965309,0.16666666666666666,0.058457711442786074,18.354782194169406
PAMAP2-6g -> MHEALTH,All features - raw,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M08,0.0,0.0,0.0,0.0,0.0,18.219635920365675
PAMAP2-6g -> MHEALTH,All features - raw,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M09,0.0,0.0,0.0,0.0,0.0,21.32532406610282
PAMAP2-6g -> MHEALTH,All features - raw,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M10,0.0,0.0,0.0,0.0,0.0,21.101613183866736
PAMAP2-6g -> MHEALTH,All features - raw,Chest and ankle acceleration,Chest and ankle acceleration,Logistic regression,M01,0.42857142857142855,0.3333333333333333,0.19999999999999998,0.3333333333333333,0.22222222222222224,15.846729404851297
PAMAP2-6g -> MHEALTH,All features - raw,Chest and ankle acceleration,Chest and ankle acceleration,Logistic regression,M02,0.2735562310030395,0.2429078014184397,0.19999999999999998,0.2429078014184397,0.16017842660178427,15.29034234651635
PAMAP2-6g -> MHEALTH,All features - raw,Chest and ankle acceleration,Chest and ankle acceleration,Logistic regression,M03,0.2826747720364742,0.24822695035460993,0.19999999999999998,0.24822695035460993,0.16507936507936508,17.602723735525405
PAMAP2-6g -> MHEALTH,All features - raw,Chest and ankle acceleration,Chest and ankle acceleration,Logistic regression,M04,0.4072948328267477,0.32092198581560283,0.19985875706214687,0.32092198581560283,0.21558024064710515,15.237537636733457
PAMAP2-6g -> MHEALTH,All features - raw,Chest and ankle acceleration,Chest and ankle acceleration,Logistic regression,M05,0.3981762917933131,0.31560283687943264,0.1990358126721763,0.31560283687943264,0.21151329004833921,15.88687884536779
PAMAP2-6g -> MHEALTH,All features - raw,Chest and ankle acceleration,Chest and ankle acceleration,Logistic regression,M06,0.26443768996960487,0.23758865248226949,0.19799999999999998,0.23758865248226949,0.15225220697857514,16.74593659697627
PAMAP2-6g -> MHEALTH,All features - raw,Chest and ankle acceleration,Chest and ankle acceleration,Logistic regression,M07,0.270516717325228,0.24113475177304963,0.19424882629107984,0.24113475177304963,0.15027249570523074,16.520660740074305
PAMAP2-6g -> MHEALTH,All features - raw,Chest and ankle acceleration,Chest and ankle acceleration,Logistic regression,M08,0.2887537993920973,0.25177304964539005,0.1995798319327731,0.25177304964539005,0.16764681657194627,16.55381965885038
PAMAP2-6g -> MHEALTH,All features - raw,Chest and ankle acceleration,Chest and ankle acceleration,Logistic regression,M09,0.2857142857142857,0.25,0.19930555555555554,0.25,0.16569879984514133,17.45525917849635
PAMAP2-6g -> MHEALTH,All features - raw,Chest and ankle acceleration,Chest and ankle acceleration,Logistic regression,M10,0.3343465045592705,0.2783687943262411,0.19999999999999998,0.2783687943262411,0.18931351733899504,15.975724364074848
PAMAP2-6g -> MHEALTH,All features - raw,Full common configuration,Full common configuration,Logistic regression,M01,0.14285714285714285,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.05555555555555556,19.44809946156973
PAMAP2-6g -> MHEALTH,All features - raw,Full common configuration,Full common configuration,Logistic regression,M02,0.1276595744680851,0.14893617021276595,0.030434782608695653,0.14893617021276595,0.05054151624548736,19.005771709642808
PAMAP2-6g -> MHEALTH,All features - raw,Full common configuration,Full common configuration,Logistic regression,M03,0.1337386018237082,0.15602836879432624,0.03160919540229885,0.15602836879432624,0.05256869772998805,22.81791825166078
PAMAP2-6g -> MHEALTH,All features - raw,Full common configuration,Full common configuration,Logistic regression,M04,0.13677811550151975,0.1595744680851064,0.032188841201716736,0.1595744680851064,0.053571428571428575,19.83691668060257
PAMAP2-6g -> MHEALTH,All features - raw,Full common configuration,Full common configuration,Logistic regression,M05,0.14285714285714285,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.05555555555555556,19.499354458150894
PAMAP2-6g -> MHEALTH,All features - raw,Full common configuration,Full common configuration,Logistic regression,M06,0.14285714285714285,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.05555555555555556,20.930774149048116
PAMAP2-6g -> MHEALTH,All features - raw,Full common configuration,Full common configuration,Logistic regression,M07,0.14285714285714285,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.05555555555555556,20.518625596400796
PAMAP2-6g -> MHEALTH,All features - raw,Full common configuration,Full common configuration,Logistic regression,M08,0.15501519756838905,0.17375886524822695,0.1668091168091168,0.17375886524822695,0.06922127562696959,19.839147788716943
PAMAP2-6g -> MHEALTH,All features - raw,Full common configuration,Full common configuration,Logistic regression,M09,0.14285714285714285,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.05555555555555556,21.300670756645008
PAMAP2-6g -> MHEALTH,All features - raw,Full common configuration,Full common configuration,Logistic regression,M10,0.14285714285714285,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.05555555555555556,21.19215711957841
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest acceleration,Chest acceleration,Logistic regression,M01,0.5167173252279635,0.43971631205673756,0.4518020069844162,0.43971631205673756,0.4143620007162006,1.3910616034319552
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest acceleration,Chest acceleration,Logistic regression,M02,0.5075987841945289,0.4574468085106383,0.45679233348847753,0.4574468085106383,0.40989090768577857,1.4459961106094181
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest acceleration,Chest acceleration,Logistic regression,M03,0.574468085106383,0.5035460992907802,0.5703703703703703,0.5035460992907802,0.4141148098892675,1.6008907739477298
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest acceleration,Chest acceleration,Logistic regression,M04,0.5805471124620061,0.5106382978723404,0.5423728813559322,0.5106382978723404,0.4362413534088823,1.249706304721142
PAMAP2-6g -> MHEALTH,Magnitude only - raw,Chest acceleration,Chest acceleration,Logistic regression,M05,0.5927051671732523,0.524822695035461,0.5369589176452704,0.524822695035461,0.4423925215776248,1.7391605045709484
