Configuration,internal_mean_macro_f1,bidirectional_transfer_macro_f1,stability_score,inference_efficiency,body_location_score,channel_score,Channel count,TOPSIS score,TOPSIS rank,EDAS score,EDAS rank,MABAC score,MABAC rank,Mean rank,Final rank,Protocol,Body locations
Chest acceleration,0.7823072029041038,0.27822236052900173,0.8877666863934439,0.1630725060483785,1.0,1.0,3,0.6606900411377913,1,0.9574492572970565,1,0.02750145082912364,3,1.6666666666666667,1,All features - raw,1
Ankle acceleration,0.8316125652584261,0.25778964279306354,0.9014991846721675,0.15344262553905458,1.0,1.0,3,0.6167603551452138,2,0.9271411095393909,2,0.1554135942008349,1,1.6666666666666667,1,All features - raw,1
Chest and ankle acceleration,0.8269654648808393,0.37729218221198435,0.8606158283183948,0.11989506985624708,0.0,0.5,6,0.5412759138115426,3,0.5326873511052514,3,0.04356726829941149,2,2.6666666666666665,3,All features - raw,2
Ankle acceleration and gyroscope,0.8309213614565988,0.22155237126720995,0.9066131797743314,0.11539601700307398,1.0,0.5,6,0.4519486856847935,4,0.5198680509448618,4,-0.001707238990647314,4,4.0,4,All features - raw,1
Full common configuration,0.8731598486360264,0.28147474644243303,0.8912935246563497,0.0900357159647237,0.0,0.0,9,0.23462424517525038,5,0.04243997894519161,5,-0.004732289794587896,5,5.0,5,All features - raw,2
Ankle acceleration,0.8316125652584261,0.5498756918889247,0.9014991846721675,0.15344262553905458,1.0,1.0,3,0.938237353275068,1,1.0,1,0.3582469242135856,1,1.0,1,Magnitude only - raw,1
Chest acceleration,0.7823072029041038,0.5013545579304184,0.8877666863934439,0.1630725060483785,1.0,1.0,3,0.8366193977411778,2,0.909818646686116,2,0.09729148995428788,2,2.0,2,Magnitude only - raw,1
Ankle acceleration and gyroscope,0.8309213614565988,0.39449860539875525,0.9066131797743314,0.11539601700307398,1.0,0.5,6,0.5413602157595825,3,0.5309612807773544,3,-0.029070424616335272,3,3.0,3,Magnitude only - raw,1
Chest and ankle acceleration,0.8269654648808393,0.5153401206069852,0.8606158283183948,0.11989506985624708,0.0,0.5,6,0.41136763934838816,4,0.32896436972271115,4,-0.0504767363493398,4,4.0,4,Magnitude only - raw,2
Full common configuration,0.8731598486360264,0.4059062456277304,0.8912935246563497,0.0900357159647237,0.0,0.0,9,0.11612762437763278,5,0.0333404170362605,5,-0.12549761279713573,5,5.0,5,Magnitude only - raw,2
Ankle acceleration,0.8316125652584261,0.4580891010480656,0.9014991846721675,0.15344262553905458,1.0,1.0,3,0.8114108451559363,1,1.0,1,0.2628634254490772,1,1.0,1,Magnitude - domain z-score,1
Chest acceleration,0.7823072029041038,0.4076492121977272,0.8877666863934439,0.1630725060483785,1.0,1.0,3,0.7031539930835629,2,0.9022814936215244,2,-0.016011237837588843,4,2.6666666666666665,2,Magnitude - domain z-score,1
Ankle acceleration and gyroscope,0.8309213614565988,0.3881420078464114,0.9066131797743314,0.11539601700307398,1.0,0.5,6,0.5481210107090217,3,0.5912754684127416,3,0.020781294485873764,3,3.0,3,Magnitude - domain z-score,1
Chest and ankle acceleration,0.8269654648808393,0.5237292368739097,0.8606158283183948,0.11989506985624708,0.0,0.5,6,0.4415530239067704,4,0.433415654958685,4,0.06605580177593257,2,3.3333333333333335,4,Magnitude - domain z-score,2
Full common configuration,0.8731598486360264,0.3896682089671846,0.8912935246563497,0.0900357159647237,0.0,0.0,9,0.11263424789391457,5,0.03940514460965553,5,-0.09429474365072682,5,5.0,5,Magnitude - domain z-score,2
Ankle acceleration,0.8316125652584261,0.44327783824356404,0.9014991846721675,0.15344262553905458,1.0,1.0,3,0.7893764589856272,1,0.9631081431165494,1,0.16266103149276323,2,1.3333333333333333,1,Magnitude - CORAL,1
Chest acceleration,0.7823072029041038,0.41086831692415027,0.8877666863934439,0.1630725060483785,1.0,1.0,3,0.7205939104782437,2,0.9003891811195917,2,-0.09227290631277335,4,2.6666666666666665,2,Magnitude - CORAL,1
Ankle acceleration and gyroscope,0.8309213614565988,0.4736326160768063,0.9066131797743314,0.11539601700307398,1.0,0.5,6,0.641852169417359,3,0.6903840960273983,3,0.15744839714005912,3,3.0,3,Magnitude - CORAL,1
Full common configuration,0.8731598486360264,0.5217807463498639,0.8912935246563497,0.0900357159647237,0.0,0.0,9,0.27972220790338137,5,0.17055797945614287,5,0.16922831544654135,1,3.6666666666666665,4,Magnitude - CORAL,2
Chest and ankle acceleration,0.8269654648808393,0.44504405830562677,0.8606158283183948,0.11989506985624708,0.0,0.5,6,0.33014940323773984,4,0.20018783246921812,4,-0.17460447335577955,5,4.333333333333333,5,Magnitude - CORAL,2
